     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:46:20.488.209             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000002    11:46:20.488.218             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000003    11:46:20.488.223             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004    11:46:20.488.227             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000005    11:46:20.488.231             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000006    11:46:20.507.158             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007    11:46:20.532.241             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    11:46:20.551.403             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000009    11:46:20.604.970             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000010    11:46:20.604.981             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:46:20.604.986             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012    11:46:20.631.045             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000013    11:46:20.631.056             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:46:20.660.552             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015    11:46:20.678.286             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    11:46:20.693.015             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000017    11:46:20.723.099             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000018    11:46:20.737.677             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000019    11:46:20.755.800             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020    11:46:20.789.670             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000021    11:46:20.789.695             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000022    11:46:20.801.545             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023    11:46:20.832.286             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000024    11:46:20.853.144             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000025    11:46:20.864.231             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000026    11:46:20.965.032             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000027    11:46:20.965.041             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000028    11:46:20.965.045             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000029    11:46:20.965.048             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000030    11:46:20.965.052             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000031    11:46:20.989.114             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    11:46:20.989.122             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000033    11:46:21.018.816             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000034    11:46:21.039.694             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    11:46:21.051.890             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000036    11:46:21.071.692             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000037    11:46:21.082.895             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038    11:46:21.113.560             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000039    11:46:21.133.518             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000040    11:46:21.133.546             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000041    11:46:21.165.452             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000042    11:46:21.261.921             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000043    11:46:21.261.929             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000044    11:46:21.261.933             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000045    11:46:21.261.941             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000046    11:46:21.261.945             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000047    11:46:21.292.128             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000048    11:46:21.292.144             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000049    11:46:21.316.625             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000050    11:46:21.333.212             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000051    11:46:21.352.588             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000052    11:46:21.384.495             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000053    11:46:21.384.542             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000054    11:46:21.436.124             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000055    11:46:21.436.148             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056    11:46:21.436.163             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000057    11:46:21.470.591             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
