     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:05:51.288.283             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000002    11:05:51.288.293             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000003    11:05:51.305.436             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000004    11:05:51.329.347             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    11:05:51.329.359             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000006    11:05:51.369.360             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000007    11:05:51.369.387             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000008    11:05:51.392.314             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000009    11:05:51.428.278             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000010    11:05:51.428.289             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000011    11:05:51.460.600             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000012    11:05:51.473.158             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000013    11:05:51.500.862             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000014    11:05:51.544.624             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000015    11:05:51.544.634             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000016    11:05:51.544.638             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000017    11:05:51.586.756             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018    11:05:51.586.783             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000019    11:05:51.599.908             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000020    11:05:51.620.691             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021    11:05:51.648.661             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000022    11:05:51.659.970             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000023    11:05:51.675.153             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    11:05:51.691.767             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000025    11:05:51.723.336             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    11:05:51.723.364             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000027    11:05:51.765.139             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000028    11:05:51.768.333             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000029    11:05:51.785.992             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000030    11:05:51.873.788             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000031    11:05:51.873.798             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000032    11:05:51.873.803             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000033    11:05:51.873.808             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000034    11:05:51.873.812             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000035    11:05:51.910.078             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000036    11:05:51.923.800             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
