     index           time           Name             ID        Type      Format  Len      Data
  00000000    10:48:27.107.978             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000001    10:47:52.666.402             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000002    10:48:27.137.949             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000003    10:48:27.120.888             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000004    10:48:27.167.930             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000005    10:48:27.198.043             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000006    10:48:27.173.809             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000007    10:48:27.228.202             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000008    10:48:27.257.950             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000009    10:48:27.220.919             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    10:48:27.287.950             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000011    10:48:27.270.958             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    10:48:26.920.792             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000013    10:48:26.970.746             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000014    10:48:27.023.669             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000015    10:47:53.066.482             接收       03401014        DATA    EXTENDED    8      00 00 60 20 98 01 20 00 
  00000016    10:47:53.466.494             接收       03401014        DATA    EXTENDED    8      00 00 60 20 9B 00 20 00 
  00000017    10:47:55.466.738             接收       03401014        DATA    EXTENDED    8      00 00 60 20 9B 00 00 00 
  00000018    10:48:00.267.386             接收       03401014        DATA    EXTENDED    8      00 00 60 00 9B 02 00 00 
  00000019    10:48:27.070.778             接收       03401014        DATA    EXTENDED    8      00 00 60 00 9B 02 80 00 
