     index           time           Name             ID        Type      Format  Len      Data
  00000001    16:04:29.711.094             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000002    16:04:29.719.930             接收            008        DATA    STANDARD    8      01 BC 02 00 00 00 00 00 
  00000003    16:04:29.753.324             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004    16:04:29.753.346             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000005    16:04:29.773.822             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 31 55 
  00000006    16:04:29.806.409             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000007    16:04:29.832.064             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000008    16:04:29.845.884             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000009    16:04:29.845.904             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000010    16:04:29.876.542             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000011    16:04:29.876.563             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000012    16:04:29.896.885             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000013    16:04:29.929.991             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000014    16:04:29.939.954             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000015    16:04:29.959.693             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000016    16:04:30.040.488             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000017    16:04:30.040.500             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000018    16:04:30.040.504             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000019    16:04:30.040.509             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000020    16:04:30.040.513             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000021    16:04:30.053.850             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000022    16:04:30.087.046             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000023    16:04:30.116.157             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000024    16:04:30.128.162             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000025    16:04:30.148.107             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000026    16:04:30.148.129             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000027    16:04:30.172.722             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000028    16:04:30.190.243             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000029    16:04:30.210.842             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000030    16:04:30.219.567             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000031    16:04:30.240.961             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000032    16:04:30.252.376             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000033    16:04:30.273.923             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000034    16:04:30.356.148             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000035    16:04:30.356.162             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000036    16:04:30.356.169             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000037    16:04:30.356.177             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000038    16:04:30.356.183             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000039    16:04:30.375.121             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000040    16:04:30.406.615             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000041    16:04:30.427.179             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000042    16:04:30.438.626             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000043    16:04:30.459.724             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000044    16:04:30.468.570             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
