     index           time           Name             ID        Type      Format  Len      Data
  00000000    16:57:50.024.737             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001    16:57:49.285.797             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000002    16:57:49.959.271             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003    16:57:49.335.834             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000004    16:57:48.885.694             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000005    16:57:48.890.679             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000006    16:57:13.586.614             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 34 
  00000007    16:57:09.930.941             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 05 
  00000008    16:57:07.930.519             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 47 
  00000009    16:57:08.780.802             接收            008        DATA    STANDARD    8      01 BC 04 00 00 00 00 00 
  00000010    16:57:49.035.741             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000011    16:57:49.041.037             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000012    16:57:08.080.745             接收            008        DATA    STANDARD    8      00 01 04 00 00 04 0C 00 
  00000013    16:57:47.835.625             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000014    16:57:49.235.727             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000015    16:57:49.241.125             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000016    16:57:47.935.611             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000017    16:57:47.985.567             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000018    16:57:49.635.855             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000019    16:57:49.642.133             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000020    16:57:08.380.797             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 04 13 
  00000021    16:57:48.185.585             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000022    16:57:08.480.547             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 48 
  00000023    16:57:48.285.740             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000024    16:57:48.335.662             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000025    16:57:48.435.740             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000026    16:57:48.485.615             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000027    16:57:08.830.679             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 16 48 
  00000028    16:57:48.685.657             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000029    16:57:48.785.729             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000030    16:57:48.835.772             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000031    16:57:48.935.757             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000032    16:57:48.985.751             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000033    16:57:37.008.740             接收            00A        DATA    STANDARD    8      01 6E 03 00 00 00 00 00 
  00000034    16:57:09.230.957             接收            008        DATA    STANDARD    8      00 01 04 04 00 04 0C 00 
  00000035    16:57:43.185.007             接收            008        DATA    STANDARD    8      03 0A 04 00 00 00 00 00 
  00000036    16:57:12.286.505             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 04 13 
  00000037    16:57:43.641.955             接收            008        DATA    STANDARD    8      07 0A 04 00 00 00 00 00 
  00000038    16:57:37.108.818             接收            00A        DATA    STANDARD    8      00 6E 03 00 00 00 00 00 
  00000039    16:57:43.785.084             接收            008        DATA    STANDARD    8      09 0A 04 00 00 00 00 00 
  00000040    16:57:11.933.897             接收            008        DATA    STANDARD    8      00 01 04 03 00 04 0E 00 
  00000041    16:57:49.085.709             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000042    16:57:49.185.787             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000043    16:57:09.985.631             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 49 
  00000044    16:57:13.733.313             接收            008        DATA    STANDARD    8      00 BC 04 00 00 00 00 00 
  00000045    16:57:10.530.835             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 50 
  00000046    16:57:44.985.224             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000047    16:57:10.932.837             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 16 50 
  00000048    16:57:11.786.052             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 51 
  00000049    16:57:12.232.515             接收            008        DATA    STANDARD    8      00 01 04 03 00 04 0A 00 
  00000050    16:57:42.235.001             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000051    16:57:12.432.989             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 52 
  00000052    16:57:12.781.022             接收            008        DATA    STANDARD    8      0A 0A FD D8 05 19 16 52 
  00000053    16:57:13.181.288             接收            008        DATA    STANDARD    8      00 01 04 03 00 04 02 00 
  00000054    16:57:13.681.115             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 53 
  00000055    16:57:41.684.755             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 13 
  00000056    16:57:49.685.725             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000057    16:57:27.333.037             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 02 00 
  00000058    16:57:14.387.315             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 54 
  00000059    16:57:14.481.437             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 06 00 
  00000060    16:57:14.631.485             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 A6 00 
  00000061    16:57:14.683.630             接收            008        DATA    STANDARD    8      04 0A 06 00 00 01 03 13 
  00000062    16:57:28.983.331             接收            008        DATA    STANDARD    8      01 82 00 00 00 00 00 00 
  00000063    16:57:45.135.411             接收            008        DATA    STANDARD    8      00 BC 03 00 00 00 00 00 
  00000064    16:57:14.936.380             接收            008        DATA    STANDARD    8      0A 0A FE 26 04 19 16 55 
  00000065    16:57:15.181.490             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 86 00 
  00000066    16:57:29.096.125             接收            008        DATA    STANDARD    8      01 82 00 01 00 00 00 00 
  00000067    16:57:16.236.789             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 8E 00 
  00000068    16:57:16.148.099             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 AE 00 
  00000069    16:57:15.986.474             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 56 
  00000070    16:57:16.387.725             接收            008        DATA    STANDARD    8      04 0A 06 00 00 00 03 13 
  00000071    16:57:16.486.818             接收            008        DATA    STANDARD    8      00 01 03 04 00 03 0E 00 
  00000072    16:57:50.035.865             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 03 13 
  00000073    16:57:16.637.100             接收            008        DATA    STANDARD    8      00 01 03 04 00 03 2E 00 
  00000074    16:57:16.831.599             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 16 57 
  00000075    16:57:20.982.247             接收            008        DATA    STANDARD    8      00 01 03 04 00 03 2C 00 
  00000076    16:57:22.932.647             接收            008        DATA    STANDARD    8      00 01 03 04 00 03 0C 00 
  00000077    16:57:17.281.724             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 19 16 57 
