     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.050.013             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         000.950.156             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000002         000.099.984             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003         000.750.051             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000004         000.749.973             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000005         001.300.172             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000006         001.750.237             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000007         000.600.095             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000008         000.599.975             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000009         001.750.243             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000010         001.750.129             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000011         000.900.082             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000012         000.899.997             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000013         002.200.266             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 17 
  00000014         001.750.266             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000015         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 09 56 
  00000016         001.750.254             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000017         001.750.174             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000018         000.900.090             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000019         000.899.971             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000020         001.750.134             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000021         001.750.248             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000022         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 09 56 
  00000023         001.750.124             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000024         001.750.173             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000025         001.750.242             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000026         001.750.220             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000027         001.750.171             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000028         001.750.125             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000029         001.750.234             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000030         001.750.252             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000031         001.750.127             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000032         001.900.234             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000033         001.150.172             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000034         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 09 57 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 09 58 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 09 58 
  00000037         000.550.052             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 09 59 
  00000038         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 10 00 
  00000039         000.550.125             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 01 
  00000040         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 10 01 
  00000041         123.114.608             接收            00A        DATA    STANDARD    8      01 6E 03 00 00 00 00 00 
  00000042         091.011.014             接收            008        DATA    STANDARD    8      00 01 01 01 00 01 0C 00 
  00000043         002.144.930             接收            008        DATA    STANDARD    8      03 0A 04 00 00 00 00 00 
  00000044         001.950.210             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 01 17 
  00000045         002.150.225             接收            008        DATA    STANDARD    8      07 0A 04 00 00 00 00 00 
  00000046         002.156.579             接收            008        DATA    STANDARD    8      09 0A 04 00 00 00 00 00 
  00000047         123.214.594             接收            00A        DATA    STANDARD    8      00 6E 03 00 00 00 00 00 
  00000048         001.600.218             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 0D 00 
  00000049         000.550.938             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 03 
  00000050         001.092.581             接收            008        DATA    STANDARD    8      00 BC 01 00 00 00 00 00 
  00000051         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 10 03 
  00000052         000.250.097             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000053         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 04 
  00000054         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 05 
  00000055         000.800.127             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 05 00 
  00000056         001.150.194             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000057         001.750.294             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000058         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 01 AE 00 19 10 05 
  00000059         122.812.921             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 01 00 
  00000060         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 06 
  00000061         002.201.601             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 01 00 
  00000062         001.650.255             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 02 17 
  00000063         001.000.125             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000064         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 07 
  00000065         001.000.125             接收            008        DATA    STANDARD    8      00 BC 02 00 00 00 00 00 
  00000066         000.600.092             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 09 00 
  00000067         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 9F 01 19 10 07 
  00000068         123.115.031             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 0D 00 
  00000069         122.814.908             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 05 00 
  00000070         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 08 
  00000071         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 09 
  00000072         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 A3 03 19 10 09 
  00000073         001.750.172             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000074         000.504.392             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 01 00 
  00000075         109.358.458             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 17 
  00000076         123.117.951             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 09 00 
  00000077         104.714.579             接收            008        DATA    STANDARD    8      02 82 00 00 00 00 00 00 
  00000078         122.812.924             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 59 00 
  00000079         000.305.273             接收            008        DATA    STANDARD    8      04 0A 05 00 00 01 03 17 
  00000080         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 19 10 11 
