     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.049.922             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         001.750.266             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000002         000.100.100             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003         001.750.224             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000004         001.750.262             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000005         001.750.299             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 03 13 
  00000006         001.750.168             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000007         001.750.172             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000008         001.750.290             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000009         001.750.264             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000010         001.750.171             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000011         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 28 
  00000012         001.750.238             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000013         001.750.285             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000014         001.750.173             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000015         001.750.124             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000016         001.750.267             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000017         001.750.235             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000018         001.750.168             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000019         001.750.173             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000020         001.750.266             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000021         001.750.278             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000022         001.750.152             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000023         001.750.172             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 00 00 
  00000024         000.700.086             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000025         000.699.988             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000026         000.700.081             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000027         000.699.985             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000028         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 29 
  00000029         000.750.118             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000030         000.749.999             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000031         000.950.064             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00000032         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 30 
  00000033         000.600.079             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000034         000.600.025             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000035         000.550.022             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 31 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 32 
  00000037         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 32 
  00000038         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 33 
  00000039         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 33 
  00000040         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 34 
  00000041         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 35 
  00000042         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 35 
  00000043         000.550.111             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 36 
  00000044         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 37 
  00000045         000.550.030             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 38 
  00000046         001.850.170             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 13 
  00000047         001.005.469             接收            008        DATA    STANDARD    8      00 BC 03 00 00 00 00 00 
  00000048         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 39 
  00000049         001.752.651             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 01 00 
  00000050         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 39 
  00000051         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 40 
  00000052         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 20 40 
  00000053         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 41 
  00000054         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 42 
  00000055         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 88 03 18 20 42 
  00000056         000.600.086             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 43 
  00000057         001.749.469             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 09 00 
  00000058         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 32 03 18 20 44 
  00000059         000.555.216             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 45 
  00000060         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 3A 03 18 20 46 
  00000061         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 46 
  00000062         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 47 
  00000063         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 40 04 18 20 47 
  00000064         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 48 
  00000065         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 49 
  00000066         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 3A 04 18 20 49 
  00000067         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 50 
  00000068         001.750.174             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000069         000.110.814             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 0D 00 
  00000070         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 51 
  00000071         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0D 00 
  00000072         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 18 20 51 
  00000073         001.750.129             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0C 00 
  00000074         000.350.109             接收            008        DATA    STANDARD    8      00 01 03 08 00 03 0C 00 
  00000075         000.700.104             接收            008        DATA    STANDARD    8      04 0A 04 20 00 00 03 13 
  00000076         000.000.000             接收            008        DATA    STANDARD    8      10 82 00 01 00 00 00 00 
  00000077         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 52 
  00000078         000.050.090             接收            009        DATA    STANDARD    8      43 87 00 00 00 00 00 00 
  00000079         003.900.487             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 01 
  00000080         000.150.049             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 00 
  00000081         000.049.918             接收            009        DATA    STANDARD    8      41 87 00 00 00 00 00 00 
  00000082         001.350.121             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 02 
  00000083         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 53 
  00000084         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 18 20 53 
  00000085         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 54 
  00000086         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 20 55 
  00000087         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 18 20 55 
  00000088         000.000.000             接收            008        DATA    STANDARD    8      08 82 00 01 00 00 00 00 
