     index           time           Name             ID        Type      Format  Len      Data
  00000001         486.361.580             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000002         000.049.984             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000003         000.049.999             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000004         000.050.018             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000005         000.049.983             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000006         000.049.999             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000007         000.050.017             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000008         000.049.984             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000009         000.050.000             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000010         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000011         000.049.985             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000012         000.049.999             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000013         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000014         000.049.983             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000015         000.050.001             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000016         000.050.017             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000017         000.049.984             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000018         000.050.000             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000019         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000020         000.050.017             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000021         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000022         000.049.991             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000023         000.049.994             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000024         000.050.014             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000025         000.049.992             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000026         000.049.993             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000027         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000028         000.049.992             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000029         000.049.993             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000030         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000031         000.049.991             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000032         000.049.994             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000033         000.050.014             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000034         000.049.992             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000035         000.049.993             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000036         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000037         000.049.990             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000038         000.049.994             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000039         000.050.019             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000040         000.049.987             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000041         000.049.995             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000042         000.050.063             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000043         000.049.982             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000044         000.050.002             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000045         000.049.996             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000046         000.019.640             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000047         000.018.255             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000048         000.012.187             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000049         000.018.392             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000050         000.031.530             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000051         000.018.515             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000052         000.019.361             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000053         000.012.187             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000054         000.018.328             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 02 13 
  00000055         000.031.594             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000056         000.018.561             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000057         000.019.313             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000058         000.012.191             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000059         000.018.606             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000060         000.031.361             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000061         000.018.562             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000062         000.019.265             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000063         000.012.236             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000064         000.018.488             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000065         000.031.434             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000066         000.018.561             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000067         000.019.313             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000068         000.012.208             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000069         000.018.280             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 19 59 
  00000070         000.031.638             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000071         000.018.593             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000072         000.019.285             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000073         000.012.214             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000074         000.018.517             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000075         000.031.419             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000076         000.018.642             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000077         000.019.218             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000078         000.012.188             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000079         000.018.516             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000080         000.031.453             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000081         000.018.623             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000082         000.019.204             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000083         000.012.188             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000084         000.018.517             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000085         000.031.453             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000086         000.018.702             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000087         000.019.173             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000088         000.012.186             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000089         000.018.611             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000090         000.031.311             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000091         000.018.679             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000092         000.019.198             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000093         000.012.200             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000094         000.018.478             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000095         000.031.431             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000096         000.018.702             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000097         000.019.173             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000098         000.012.206             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000099         000.018.560             接收            008        DATA    STANDARD    8      00 01 02 00 00 02 08 00 
  00000100         000.031.392             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000101         000.018.653             接收            008        DATA    STANDARD    8      00 01 02 00 00 02 08 00 
  00000102         000.019.193             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000103         000.012.238             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000104         000.018.520             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000105         000.031.400             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000106         000.018.680             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000107         000.005.111             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000108         000.014.155             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000109         000.012.141             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000110         000.018.563             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000111         000.031.359             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000112         000.018.656             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000113         000.019.219             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000114         000.012.188             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000115         000.018.515             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000116         000.006.751             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000117         000.024.656             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000118         000.018.628             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 02 13 
  00000119         000.019.247             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000120         000.012.188             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000121         000.018.608             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000122         000.031.359             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000123         000.018.470             接收            008        DATA    STANDARD    8      14 0A 10 05 03 19 20 00 
  00000124         000.019.405             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000125         000.012.188             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000126         000.018.683             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000127         000.031.238             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000128         000.018.718             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000129         000.019.158             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000130         000.012.190             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000131         000.018.654             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000132         000.006.590             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000133         000.024.675             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000134         000.018.753             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000135         000.019.122             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000136         000.012.202             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000137         000.018.552             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000138         000.031.402             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000139         000.018.722             接收            008        DATA    STANDARD    8      01 BC 02 00 00 00 00 00 
  00000140         000.019.120             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000141         000.012.238             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000142         000.018.518             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 20 00 
  00000143         000.031.400             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000144         000.018.718             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000145         000.019.158             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000146         000.012.198             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000147         000.018.598             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000148         000.005.002             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000149         000.026.316             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000150         000.018.798             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000151         000.019.080             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000152         000.012.213             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000153         000.018.657             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000154         000.031.246             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000155         000.018.770             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000156         000.005.016             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000157         000.014.158             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000158         000.012.166             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000159         000.018.632             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000160         000.031.286             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000161         000.018.798             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000162         000.019.078             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000163         000.012.209             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000164         000.018.589             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000165         000.006.629             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000166         000.024.685             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000167         000.018.815             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000168         000.019.079             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000169         000.012.187             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000170         000.018.750             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000171         000.031.172             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000172         000.018.845             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000173         000.006.467             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000174         000.012.633             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000175         000.012.116             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000176         000.018.752             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000177         000.031.218             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000178         000.018.845             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000179         000.019.029             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000180         000.012.188             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000181         000.018.680             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000182         000.004.916             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000183         000.026.327             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000184         000.018.748             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
