     index           time           Name             ID        Type      Format  Len      Data
  00000001         044.353.487             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000002         000.049.985             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000003         000.049.998             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000004         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000005         000.049.988             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000006         000.049.996             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000007         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000008         000.049.984             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000009         000.050.000             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000010         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000011         000.049.986             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000012         000.049.998             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000013         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000014         000.049.987             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000015         000.049.998             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000016         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000017         000.049.986             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000018         000.049.998             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000019         000.050.034             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000020         000.050.012             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000021         000.050.002             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000022         000.049.984             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000023         000.050.000             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000024         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000025         000.049.985             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000026         000.050.001             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000027         000.050.014             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000028         000.049.983             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000029         000.050.001             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000030         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000031         000.049.985             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000032         000.050.000             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000033         000.050.015             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000034         000.049.983             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000035         000.050.001             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000036         000.050.039             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000037         000.049.994             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000038         000.050.014             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000039         000.049.992             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000040         000.049.992             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000041         000.050.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000042         000.012.703             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000043         000.016.360             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000044         000.020.923             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000045         000.011.563             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000046         000.038.435             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000047         000.011.596             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000048         000.017.471             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000049         000.020.929             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000050         000.011.510             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 03 20 
  00000051         000.038.480             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000052         000.011.642             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000053         000.017.438             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000054         000.020.960             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000055         000.011.716             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000056         000.038.274             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000057         000.011.646             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000058         000.017.438             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000059         000.020.932             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000060         000.011.627             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000061         000.038.346             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000062         000.011.649             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000063         000.017.438             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000064         000.020.924             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000065         000.011.438             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 58 59 
  00000066         000.038.554             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
