     index           time           Name             ID        Type      Format  Len      Data
  00000000         001.795.007             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000001         000.050.074             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000002         002.155.452             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000003         000.099.984             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 36 
  00000005         000.800.136             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000006         000.850.147             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000007         000.850.010             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000008         001.750.235             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000009         001.750.266             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000010         000.900.071             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000011         000.900.048             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000012         001.750.266             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000013         001.750.191             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000014         000.700.075             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000015         000.700.016             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000016         001.750.292             接收            008        DATA    STANDARD    8      04 0A 00 00 00 00 01 1E 
  00000017         001.750.262             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000018         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 37 
  00000019         001.750.265             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000020         001.750.124             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000021         000.700.046             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000022         000.700.031             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000023         001.750.172             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000024         001.750.246             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000025         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 46 37 
  00000026         001.750.158             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000027         001.750.256             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000028         001.750.124             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000029         001.750.173             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000030         001.750.241             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000031         001.750.247             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000032         001.750.267             接收            008        DATA    STANDARD    8      20 82 00 01 00 00 00 00 
  00000033         001.750.128             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000034         001.750.265             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 38 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 39 
  00000037         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 46 39 
  00000038         000.550.036             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 40 
  00000039         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 46 41 
  00000040         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 41 
  00000041         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 46 42 
  00000042         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 46 42 
  00000043         000.000.000             接收            00A        DATA    STANDARD    8      01 6E 03 00 00 00 00 00 
  00000044         001.750.264             接收            008        DATA    STANDARD    8      07 0A 04 00 00 00 00 00 
  00000045         001.750.172             接收            008        DATA    STANDARD    8      09 0A 04 00 00 00 00 00 
  00000046         000.000.000             接收            00A        DATA    STANDARD    8      00 6E 03 00 00 00 00 00 
  00000047         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 01 00 01 0C 00 
  00000048         001.744.967             接收            008        DATA    STANDARD    8      03 0A 04 00 00 00 00 00 
  00000049         000.000.000             接收            008        DATA    STANDARD    8      04 0A 00 00 00 01 01 1E 
  00000050         001.052.344             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 0D 00 
  00000051         002.998.611             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 01 1E 
