     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.049.982             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         000.700.103             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000002         000.699.984             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000003         000.100.055             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004         001.750.125             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 13 
  00000005         001.750.172             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000006         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 36 26 
  00000007         001.750.188             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000008         001.750.268             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000009         000.850.075             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000010         000.850.031             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000011         001.750.265             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000012         001.750.263             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000013         000.950.016             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000014         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 18 36 26 
  00000015         001.750.152             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000016         000.700.050             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000017         000.700.031             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000018         001.750.152             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000019         001.750.284             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000020         000.700.057             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000021         000.699.986             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000022         001.750.246             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000023         001.750.145             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000024         001.750.153             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000025         001.750.218             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000026         001.750.266             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000027         001.750.171             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000028         003.905.700             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000029         001.750.169             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000030         000.550.100             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 36 27 
  00000031         001.750.154             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000032         001.750.127             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000033         001.750.142             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000034         001.750.287             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 18 36 28 
  00000036         000.550.044             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 36 29 
  00000037         000.000.000             接收            00A        DATA    STANDARD    8      01 6E 04 00 00 00 00 00 
  00000038         001.900.246             接收            008        DATA    STANDARD    8      03 0A 08 00 00 00 00 00 
  00000039         001.900.218             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 01 13 
  00000040         000.000.000             接收            00A        DATA    STANDARD    8      00 6E 04 00 00 00 00 00 
  00000041         001.950.303             接收            008        DATA    STANDARD    8      07 0A 08 00 00 00 00 00 
  00000042         001.950.188             接收            008        DATA    STANDARD    8      09 0A 08 00 00 00 00 00 
  00000043         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 01 00 01 0C 00 
  00000044         001.160.372             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 0D 00 
  00000045         000.850.145             接收            008        DATA    STANDARD    8      00 BC 01 00 00 00 00 00 
  00000046         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 18 36 30 
  00000047         000.600.094             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 36 31 
  00000048         000.000.000             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000049         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 02 00 18 36 32 
  00000050         000.400.050             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 05 00 
  00000051         002.100.264             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000052         002.050.212             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000053         000.550.032             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 36 33 
  00000054         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 01 00 
  00000055         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 8D 01 18 36 33 
  00000056         001.150.124             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 02 13 
  00000057         002.050.310             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000058         000.550.004             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 01 00 
