     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.050.082             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         002.000.264             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000002         000.105.233             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003         000.550.122             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 40 31 
  00000004         000.800.096             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000005         000.650.156             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000006         000.950.011             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000007         001.750.149             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000008         001.755.515             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000009         000.955.288             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000010         000.555.681             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000011         001.755.494             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000012         001.750.126             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000013         001.000.126             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000014         001.104.141             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000015         001.750.171             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 13 
  00000016         001.750.286             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000017         001.750.263             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000018         001.750.173             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000019         000.850.061             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000020         000.850.007             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000021         001.747.172             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000022         001.750.246             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000023         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 18 40 32 
  00000024         001.800.208             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000025         001.800.248             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000026         001.800.234             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000027         001.800.234             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000028         001.850.157             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000029         001.849.856             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000030         004.004.718             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000031         001.850.280             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000032         001.850.155             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000033         001.960.547             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000034         000.550.027             接收            008        DATA    STANDARD    8      14 0A 10 05 04 18 40 33 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 18 40 33 
