     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.700.095             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000001         000.700.004             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000002         000.049.920             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000003         001.750.278             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000004         000.100.031             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000005         001.750.149             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000006         000.700.079             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000007         000.700.009             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000008         001.750.241             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 17 
  00000009         001.750.268             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000010         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 49 29 
  00000011         001.750.267             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000012         001.750.144             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000013         000.700.098             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000014         000.699.982             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000015         001.750.291             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000016         001.750.173             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000017         000.800.125             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000018         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 49 29 
  00000019         001.750.264             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000020         000.600.070             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000021         000.600.027             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000022         001.750.266             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000023         001.750.199             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000024         001.750.171             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
