     index           time           Name             ID        Type      Format  Len      Data
  00000000    17:20:46.835.220             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001    17:20:46.450.772             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000002    17:20:46.500.694             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000003    17:20:46.506.526             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000004    17:20:46.822.257             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000005    17:20:46.550.756             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000006    17:20:46.600.773             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000007    17:20:46.650.754             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000008    17:20:46.656.648             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000009    17:20:46.700.803             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000010    17:20:46.750.819             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000011    17:20:46.800.696             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000012    17:20:46.805.822             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000013    17:20:46.850.738             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000014    17:20:45.150.602             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000015    17:20:39.949.706             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 00 
  00000016    17:20:46.050.694             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000017    17:20:46.350.787             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000018    17:20:46.355.850             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000019    17:20:45.350.616             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000020    17:20:45.400.584             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000021    17:20:45.500.569             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000022    17:20:45.550.646             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000023    17:20:45.650.569             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 13 
  00000024    17:20:45.700.586             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000025    17:20:40.499.734             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 01 
  00000026    17:20:45.800.756             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000027    17:20:45.850.660             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000028    17:20:45.950.730             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000029    17:20:46.000.606             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000030    17:20:40.849.984             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 33 01 
  00000031    17:20:46.150.726             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000032    17:20:46.250.756             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000033    17:20:46.300.704             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000034    17:20:46.400.710             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000035    17:20:41.699.898             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 02 
  00000036    17:20:42.249.975             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 03 
  00000037    17:20:42.600.146             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 33 03 
  00000038    17:20:44.000.148             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 04 
  00000039    17:20:44.350.350             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 33 05 
  00000040    17:20:45.200.335             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 05 
  00000041    17:20:45.750.426             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 33 06 
  00000042    17:20:46.100.569             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 19 33 06 
