     index           time           Name             ID        Type      Format  Len      Data
  00000000    16:32:27.970.318             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000001    16:32:27.976.836             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000002    16:32:28.794.756             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003    16:32:28.859.818             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000004    16:32:27.320.350             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000005    16:32:27.370.297             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000006    16:32:28.120.347             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000007    16:32:28.127.185             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000008    16:32:27.470.256             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000009    16:32:27.520.365             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000010    16:32:28.670.444             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000011    16:32:28.676.189             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000012    16:32:27.620.303             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000013    16:32:10.218.305             接收            008        DATA    STANDARD    8      20 82 00 01 00 00 00 00 
  00000014    16:32:28.820.458             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000015    16:32:28.826.537             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000016    16:32:28.020.428             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000017    16:32:28.070.349             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000018    16:32:14.618.725             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 34 
  00000019    16:32:10.818.217             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 05 
  00000020    16:32:08.817.802             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 56 04 
  00000021    16:32:09.668.073             接收            008        DATA    STANDARD    8      01 BC 04 00 00 00 00 00 
