     index           time           Name             ID        Type      Format  Len      Data
  00000000    16:11:22.400.256             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001    16:11:22.116.597             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000002    16:11:22.122.476             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000003    16:11:22.337.177             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004    16:11:22.316.657             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000005    16:11:22.366.646             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000006    16:11:22.266.616             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000007    16:11:22.273.272             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000008    16:11:20.716.414             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 34 
  00000009    16:11:20.766.381             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 05 
  00000010    16:11:13.815.263             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 09 
  00000011    16:11:21.666.569             接收            008        DATA    STANDARD    8      01 BC 04 00 00 00 00 00 
  00000012    16:11:21.816.521             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000013    16:11:21.821.584             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000014    16:11:20.966.443             接收            008        DATA    STANDARD    8      00 01 04 00 00 04 0C 00 
  00000015    16:11:21.016.412             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000016    16:11:21.966.523             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000017    16:11:21.972.127             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000018    16:11:21.116.444             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000019    16:11:21.166.476             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000020    16:11:21.266.539             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 04 13 
  00000021    16:11:21.316.461             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000022    16:11:14.365.411             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 10 
  00000023    16:11:21.416.584             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000024    16:11:21.466.506             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000025    16:11:21.566.585             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000026    16:11:21.616.459             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000027    16:11:14.715.535             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 35 10 
  00000028    16:11:21.766.553             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000029    16:11:21.866.630             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000030    16:11:21.916.573             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000031    16:11:22.016.537             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000032    16:11:22.066.647             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000033    16:11:22.166.584             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000034    16:11:22.216.600             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000035    16:11:15.565.505             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 11 
  00000036    16:11:16.115.537             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 12 
  00000037    16:11:16.465.710             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 35 12 
  00000038    16:11:17.865.802             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 13 
  00000039    16:11:18.215.879             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 35 14 
  00000040    16:11:19.615.975             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 15 
  00000041    16:11:19.966.149             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 35 15 
  00000042    16:11:20.816.162             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 16 
  00000043    16:11:21.366.240             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 35 17 
  00000044    16:11:21.716.396             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 19 35 17 
