     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.050.014             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         000.000.000             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 03 17 
  00000002         001.750.150             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000003         000.099.990             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 49 
  00000005         001.750.171             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000006         001.750.264             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000007         000.700.090             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000008         000.700.030             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000009         001.750.264             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000010         001.750.198             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000011         000.950.142             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00000012         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 18 01 49 
  00000013         001.750.265             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000014         000.850.044             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000015         000.850.006             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000016         001.750.216             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000017         001.750.170             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000018         000.900.124             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000019         000.900.001             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000020         001.750.263             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000021         001.750.173             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000022         000.700.102             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000023         000.701.950             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000024         001.750.125             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000025         001.750.281             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000026         001.750.244             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000027         001.750.124             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000028         001.850.482             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000029         000.000.000             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000030         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 50 
  00000031         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0C 00 
  00000032         001.750.176             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000033         000.000.000             接收            00A        DATA    STANDARD    8      01 6E 04 00 00 00 00 00 
  00000034         001.900.224             接收            008        DATA    STANDARD    8      09 0A 08 00 00 00 00 00 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 01 00 03 0C 00 
  00000036         002.100.250             接收            008        DATA    STANDARD    8      03 0A 08 00 00 00 00 00 
  00000037         001.899.186             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 17 
  00000038         001.905.442             接收            008        DATA    STANDARD    8      07 0A 08 00 00 00 00 00 
  00000039         001.750.144             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000040         000.000.000             接收            00A        DATA    STANDARD    8      00 6E 04 00 00 00 00 00 
  00000041         001.609.313             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 0D 00 
  00000042         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 51 
  00000043         000.843.767             接收            008        DATA    STANDARD    8      00 BC 03 00 00 00 00 00 
  00000044         001.750.266             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 05 
  00000045         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 52 
  00000046         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 53 
  00000047         000.750.117             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 05 00 
  00000048         001.946.391             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000049         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 54 
  00000050         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 01 00 
  00000051         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 55 
  00000052         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 38 05 18 01 55 
  00000053         001.750.172             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 34 
  00000054         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 01 00 
  00000055         000.000.000             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 04 17 
  00000056         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 09 00 
  00000057         000.000.000             接收            008        DATA    STANDARD    8      01 82 00 00 00 00 00 00 
  00000058         000.239.942             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 A9 00 
  00000059         000.000.000             接收            008        DATA    STANDARD    8      04 0A 06 00 00 01 04 17 
  00000060         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 56 
  00000061         000.000.000             接收            008        DATA    STANDARD    8      00 BC 04 00 00 00 00 00 
  00000062         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 89 00 
  00000063         000.000.000             接收            008        DATA    STANDARD    8      01 82 00 01 00 00 00 00 
  00000064         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 8D 00 
  00000065         000.000.000             接收            008        DATA    STANDARD    8      04 0A 06 00 00 00 04 17 
  00000066         000.000.000             接收            008        DATA    STANDARD    8      04 0A 06 20 00 00 04 17 
  00000067         000.000.000             接收            008        DATA    STANDARD    8      11 82 00 01 00 00 00 00 
  00000068         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 8C 02 04 8C 00 
  00000069         000.000.000             接收            008        DATA    STANDARD    8      10 82 00 01 00 00 00 00 
  00000070         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 8C 02 04 2C 00 
  00000071         001.750.264             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000072         000.049.988             接收            009        DATA    STANDARD    8      43 87 00 00 00 00 00 00 
  00000073         000.349.079             接收            008        DATA    STANDARD    8      04 0A 04 20 00 00 04 17 
  00000074         004.599.865             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 01 
  00000075         004.200.470             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 00 
  00000076         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 88 02 04 0C 00 
  00000077         000.050.011             接收            009        DATA    STANDARD    8      41 87 00 00 00 00 00 00 
  00000078         001.750.240             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 02 
  00000079         001.750.286             接收            008        DATA    STANDARD    8      00 01 04 80 02 04 0C 00 
  00000080         001.750.264             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 04 17 
  00000081         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 58 
  00000082         000.800.085             接收            008        DATA    STANDARD    8      01 BC 04 00 00 00 00 00 
  00000083         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 01 59 
  00000084         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 01 59 
  00000085         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 00 
  00000086         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 02 00 
  00000087         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 01 
  00000088         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 02 
  00000089         000.000.000             接收            008        DATA    STANDARD    8      08 82 00 01 00 00 00 00 
  00000090         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 10 00 04 0C 00 
  00000091         000.000.000             接收            008        DATA    STANDARD    8      04 0A 04 40 00 00 04 17 
  00000092         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 02 02 
  00000093         001.750.291             接收            008        DATA    STANDARD    8      00 01 04 00 00 04 0C 00 
  00000094         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 03 
  00000095         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 04 
  00000096         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 02 04 
  00000097         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 05 
  00000098         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 06 
  00000099         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 02 06 
  00000100         000.550.151             接收            008        DATA    STANDARD    8      14 0A 10 04 28 18 02 07 
  00000101         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 02 08 
