     index           time           Name             ID        Type      Format  Len      Data
  00000001         033.862.164             接收            008        DATA    STANDARD    8      00 BC 03 00 00 00 00 00 
  00000002         000.032.716             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000003         000.014.356             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 17 43 19 
  00000004         000.018.036             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000005         000.012.559             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000006         000.024.923             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000007         000.025.032             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000008         000.046.031             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000009         000.004.828             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000010         000.004.973             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000011         000.008.690             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000012         000.004.948             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000013         000.030.518             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000014         000.017.481             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000015         000.027.374             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000016         000.005.227             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000017         000.014.413             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000018         000.042.469             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000019         000.017.484             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000020         000.033.004             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000021         000.007.045             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000022         000.042.005             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000023         000.177.307             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000024         000.004.968             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000025         000.011.296             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000026         000.014.601             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000027         000.035.369             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000028         000.014.551             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000029         000.028.245             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000030         000.007.266             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000031         000.019.755             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000032         000.038.511             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000033         000.012.191             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000034         000.033.670             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000035         000.006.140             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000036         000.007.722             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000037         000.043.520             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000038         000.005.835             接收            008        DATA    STANDARD    8      14 0A 10 05 25 17 43 20 
  00000039         000.050.906             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000040         000.010.993             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000041         000.058.218             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000042         000.012.560             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000043         000.014.466             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000044         000.040.570             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000045         000.009.317             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 0E 00 
  00000046         000.023.077             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
