     index           time           Name             ID        Type      Format  Len      Data
  00001446         000.030.327             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00001447         000.015.191             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001448         000.004.848             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001449         000.029.977             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00001450         000.005.016             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00001451         000.014.719             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001452         000.030.281             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00001453         000.015.203             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001454         000.004.840             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001455         000.030.000             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00001456         000.019.638             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001457         000.030.280             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00001458         000.006.773             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00001459         000.008.535             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001460         000.004.848             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001461         000.029.836             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00001462         000.019.736             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001463         000.030.280             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00001464         000.015.234             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001465         000.004.827             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001466         000.029.720             接收            008        DATA    STANDARD    8      14 0A 10 11 05 22 29 31 
  00001467         000.019.921             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001468         000.030.328             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00001469         000.015.188             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001470         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001471         000.029.960             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00001472         000.005.790             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00001473         000.013.968             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001474         000.030.190             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0C 00 
  00001475         000.015.278             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001476         000.004.848             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001477         000.029.998             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00001478         000.019.638             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001479         000.030.359             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00001480         000.005.599             接收            021        DATA    STANDARD    8      02 AB 03 00 00 00 00 00 
  00001481         000.009.636             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001482         000.004.840             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001483         000.029.918             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00001484         000.019.638             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001485         000.030.320             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00001486         000.015.198             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001487         000.004.851             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001488         000.030.025             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00001489         000.004.920             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00001490         000.014.758             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001491         000.030.238             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 03 25 
  00001492         000.015.238             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001493         000.004.852             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001494         000.030.001             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00001495         000.019.621             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001496         000.030.038             接收            008        DATA    STANDARD    8      14 0A 10 11 05 22 29 32 
  00001497         000.015.478             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001498         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001499         000.030.143             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00001500         000.019.499             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001501         000.030.344             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00001502         000.015.171             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001503         000.004.828             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001504         000.030.094             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00001505         000.006.583             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00001506         000.013.038             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001507         000.030.360             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00001508         000.015.128             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001509         000.004.829             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001510         000.029.999             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00001511         000.019.641             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001512         000.030.376             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00001513         000.015.139             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001514         000.004.830             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001515         000.029.928             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 22 29 32 
  00001516         000.019.713             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001517         000.030.420             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00001518         000.015.097             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001519         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001520         000.030.040             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00001521         000.005.678             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00001522         000.013.995             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001523         000.030.375             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00001524         000.015.098             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001525         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001526         000.030.118             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00001527         000.019.520             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001528         000.030.450             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00001529         000.005.485             接收            021        DATA    STANDARD    8      02 AB 03 00 00 00 00 00 
  00001530         000.009.655             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001531         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001532         000.030.000             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00001533         000.019.576             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001534         000.030.422             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00001535         000.015.094             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001536         000.004.828             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001537         000.030.114             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00001538         000.006.838             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00001539         000.012.758             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001540         000.030.353             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00001541         000.015.141             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001542         000.004.827             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001543         000.030.119             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00001544         000.019.522             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001545         000.030.396             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00001546         000.006.558             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00001547         000.008.655             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001548         000.004.828             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001549         000.030.113             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00001550         000.019.434             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001551         000.030.486             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00001552         000.015.030             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001553         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001554         000.030.076             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00001555         000.005.640             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00001556         000.014.000             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001557         000.030.344             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00001558         000.015.092             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001559         000.004.838             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001560         000.030.164             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00001561         000.019.516             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001562         000.030.198             接收            008        DATA    STANDARD    8      14 0A 10 11 05 22 29 33 
  00001563         000.015.318             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001564         000.004.838             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001565         000.030.114             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00001566         000.019.526             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001567         000.030.490             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00001568         000.005.391             接收            021        DATA    STANDARD    8      02 AB 03 00 00 00 00 00 
  00001569         000.009.705             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00001570         000.004.846             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001571         000.030.040             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0C 00 
  00001572         000.019.533             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00001573         000.030.469             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
