     index           time           Name             ID        Type      Format  Len      Data
  00000001         049.574.626             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000002         000.003.094             接收            740        DATA    STANDARD    8      1D 00 47 00 03 D8 00 00 
  00000003         000.001.921             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000004         000.003.328             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000005         000.001.875             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000006         000.002.860             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000007         000.002.321             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000008         000.003.022             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000009         000.002.015             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000010         000.002.827             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000011         000.002.049             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 E1 
  00000012         000.003.141             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000013         000.112.218             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000014         000.527.484             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000015         000.529.126             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000016         000.104.793             接收            781        DATA    STANDARD    6      11 00 50 0C 0D F8 
  00000017         000.424.989             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000018         000.112.888             接收            781        DATA    STANDARD    6      11 00 50 0C 0D F8 
  00000019         000.415.700             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000020         000.241.486             接收            180        DATA    STANDARD    6      15 00 20 08 08 73 
  00000021         000.001.769             接收            180        DATA    STANDARD    6      15 00 36 01 01 74 
  00000022         000.076.500             接收            200        DATA    STANDARD    5      15 00 01 04 04 
  00000023         000.019.077             接收            200        DATA    STANDARD    5      19 00 01 04 04 
  00000024         000.004.453             接收            749        DATA    STANDARD    7      05 00 AE 40 01 00 00 
  00000025         000.002.813             接收            749        DATA    STANDARD    7      09 00 AE 40 01 00 00 
  00000026         000.002.128             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 02 
  00000027         000.004.106             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000028         000.002.018             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000029         000.001.281             接收            100        DATA    STANDARD    6      1D 00 71 FF 10 E2 
  00000030         000.004.388             接收            740        DATA    STANDARD    8      1D 00 47 10 03 D8 00 00 
  00000031         000.002.719             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 10 
  00000032         000.002.064             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 10 
  00000033         000.003.280             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000034         000.002.017             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000035         000.002.880             接收            749        DATA    STANDARD    6      0D 00 AE 04 01 00 
  00000036         000.001.385             接收            748        DATA    STANDARD    6      0D 00 AE 04 01 00 
  00000037         000.002.015             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000038         000.002.835             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000039         000.121.913             接收            741        DATA    STANDARD    3      1D 00 42 
  00000040         000.002.921             接收            100        DATA    STANDARD    6      1D 00 E9 01 00 E3 
  00000041         000.015.255             接收            180        DATA    STANDARD    6      15 00 20 08 00 75 
  00000042         000.001.779             接收            180        DATA    STANDARD    6      15 00 36 01 00 76 
  00000043         000.032.860             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000044         000.529.936             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000045         000.529.298             接收            249        DATA    STANDARD    4      0D 00 AE 10 
