     index           time           Name             ID        Type      Format  Len      Data
  00000001         062.202.679             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000002         000.003.212             接收            740        DATA    STANDARD    8      1D 00 47 00 05 66 00 00 
  00000003         000.001.687             接收            600        DATA    STANDARD    7      1D 00 40 66 00 00 00 
  00000004         000.003.282             接收            500        DATA    STANDARD    7      1D 00 40 66 00 00 00 
  00000005         000.001.875             接收            749        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000006         000.002.831             接收            748        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000007         000.001.362             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000008         000.004.104             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000009         000.002.110             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000010         000.002.858             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000011         000.002.016             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 25 
  00000012         000.003.142             接收            742        DATA    STANDARD    5      1D 00 50 FF 04 
  00000013         000.131.436             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000014         000.211.782             接收            781        DATA    STANDARD    6      11 00 50 09 09 0F 
  00000015         000.317.223             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000016         000.022.855             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 26 
  00000017         000.003.305             接收            742        DATA    STANDARD    5      1D 00 20 FF 08 
  00000018         000.190.712             接收            781        DATA    STANDARD    6      11 00 50 09 09 0F 
  00000019         000.311.589             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000020         000.220.503             接收            781        DATA    STANDARD    6      11 00 50 09 09 0F 
  00000021         000.257.393             接收            180        DATA    STANDARD    6      15 00 32 01 30 FA 
  00000022         000.052.810             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000023         000.223.841             接收            781        DATA    STANDARD    6      11 00 50 09 09 0F 
  00000024         000.303.738             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000025         000.229.311             接收            781        DATA    STANDARD    6      11 00 50 09 09 0F 
  00000026         000.301.970             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000027         000.527.390             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000028         000.527.267             接收            249        DATA    STANDARD    4      0D 00 AE 10 
