     index           time           Name             ID        Type      Format  Len      Data
  00000001         100.650.030             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000002         000.165.891             接收            1C0        DATA    STANDARD    5      15 00 22 40 40 
  00000003         000.063.951             接收            200        DATA    STANDARD    5      15 00 01 08 08 
  00000004         000.019.780             接收            200        DATA    STANDARD    5      19 00 01 08 08 
  00000005         000.003.941             接收            749        DATA    STANDARD    7      05 00 AE 40 02 00 00 
  00000006         000.002.236             接收            749        DATA    STANDARD    7      09 00 AE 40 02 00 00 
  00000007         000.003.326             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000008         000.001.922             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000009         000.002.859             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000010         000.001.335             接收            100        DATA    STANDARD    6      1D 00 71 FF 02 3E 
  00000011         000.004.293             接收            740        DATA    STANDARD    8      1D 00 47 20 22 64 66 00 
  00000012         000.001.966             接收            600        DATA    STANDARD    7      1D 00 40 64 66 00 20 
  00000013         000.004.078             接收            500        DATA    STANDARD    7      1D 00 40 64 66 00 20 
  00000014         000.001.877             接收            1C0        DATA    STANDARD    5      15 00 22 40 00 
  00000015         000.000.983             接收            749        DATA    STANDARD    6      0D 00 AE 03 32 33 
  00000016         000.001.876             接收            748        DATA    STANDARD    6      0D 00 AE 03 32 33 
  00000017         000.005.343             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000018         000.002.876             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000019         000.003.282             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000020         000.002.843             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000021         000.086.202             接收            741        DATA    STANDARD    3      1D 00 42 
  00000022         000.002.483             接收            100        DATA    STANDARD    6      1D 00 E9 01 00 3F 
  00000023         000.159.891             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000024         000.406.221             接收            180        DATA    STANDARD    6      15 00 20 10 10 AB 
  00000025         000.001.780             接收            180        DATA    STANDARD    6      15 00 36 01 01 AC 
  00000026         000.083.859             接收            180        DATA    STANDARD    6      15 00 20 10 00 AD 
  00000027         000.001.748             接收            180        DATA    STANDARD    6      15 00 36 01 00 AE 
  00000028         000.036.670             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000029         000.426.488             接收            180        DATA    STANDARD    6      15 00 20 04 04 AF 
  00000030         000.001.748             接收            180        DATA    STANDARD    6      15 00 36 01 01 B0 
  00000031         000.099.099             接收            180        DATA    STANDARD    6      15 00 20 04 00 B1 
  00000032         000.001.715             接收            180        DATA    STANDARD    6      15 00 36 01 00 B2 
  00000033         000.000.816             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000034         000.526.387             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000035         000.525.635             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000036         000.428.647             接收            740        DATA    STANDARD    8      1D 00 47 21 21 D8 66 00 
  00000037         000.003.343             接收            600        DATA    STANDARD    7      1D 00 40 D8 66 00 20 
  00000038         000.002.377             接收            500        DATA    STANDARD    7      1D 00 40 D8 66 00 20 
  00000039         000.002.390             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 33 
  00000040         000.002.063             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 33 
  00000041         000.003.748             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000042         000.001.670             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000043         000.002.812             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000044         000.002.129             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000045         000.093.093             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000046         000.526.876             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000047         000.161.390             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000048         000.003.422             接收            740        DATA    STANDARD    8      1D 00 47 21 21 D8 66 00 
  00000049         000.002.063             接收            600        DATA    STANDARD    7      1D 00 40 D8 66 00 20 
  00000050         000.002.746             接收            500        DATA    STANDARD    7      1D 00 40 D8 66 00 20 
  00000051         000.001.942             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 33 
  00000052         000.001.372             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 33 
  00000053         000.002.846             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000054         000.001.359             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000055         000.004.078             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000056         000.002.064             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000057         000.002.952             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 40 
  00000058         000.001.829             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000059         000.116.624             接收            740        DATA    STANDARD    8      1D 00 47 21 20 9E 66 00 
  00000060         000.002.343             接收            600        DATA    STANDARD    7      1D 00 40 9E 66 00 20 
  00000061         000.002.830             接收            500        DATA    STANDARD    7      1D 00 40 9E 66 00 20 
  00000062         000.003.498             接收            749        DATA    STANDARD    6      0D 00 AE 03 4F 33 
  00000063         000.001.689             接收            748        DATA    STANDARD    6      0D 00 AE 03 4F 33 
  00000064         000.003.374             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000065         000.001.666             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000066         000.003.272             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000067         000.002.111             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000068         000.217.075             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000069         000.462.376             接收            740        DATA    STANDARD    8      1D 00 47 21 1F 72 64 00 
