     index           time           Name             ID        Type      Format  Len      Data
  00000001         057.742.453             接收            781        DATA    STANDARD    6      11 00 50 0B 0B 03 
  00000002         000.012.248             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000003         000.530.014             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000004         000.525.316             接收            781        DATA    STANDARD    6      11 00 50 0B 0B 03 
  00000005         000.004.125             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000006         000.528.813             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000007         000.151.624             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000008         000.004.218             接收            740        DATA    STANDARD    8      1D 00 47 00 05 66 00 00 
  00000009         000.001.945             接收            600        DATA    STANDARD    7      1D 00 40 66 00 00 00 
  00000010         000.002.885             接收            500        DATA    STANDARD    7      1D 00 40 66 00 00 00 
  00000011         000.002.062             接收            749        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000012         000.003.768             接收            748        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000013         000.001.622             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000014         000.002.841             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000015         000.005.316             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000016         000.002.037             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000017         000.002.902             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 D1 
  00000018         000.001.203             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000019         000.353.295             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000020         000.005.437             接收            781        DATA    STANDARD    6      11 00 50 0C 0B FA 
  00000021         000.522.730             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000022         000.530.973             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000023         000.527.766             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000024         000.528.025             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000025         000.042.538             接收            781        DATA    STANDARD    4      11 00 FA 04 
  00000026         000.487.503             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000027         000.531.372             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000028         000.529.466             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000029         000.042.892             接收            781        DATA    STANDARD    6      11 00 50 0D 0D 6B 
  00000030         000.485.095             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000031         000.049.658             接收            781        DATA    STANDARD    6      11 00 50 0D 0D 6B 
  00000032         000.479.562             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000033         000.045.936             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000034         000.002.953             接收            740        DATA    STANDARD    8      1D 00 47 00 05 66 00 00 
  00000035         000.002.016             接收            600        DATA    STANDARD    7      1D 00 40 66 00 00 00 
  00000036         000.003.331             接收            500        DATA    STANDARD    7      1D 00 40 66 00 00 00 
  00000037         000.005.012             接收            749        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000038         000.002.063             接收            748        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000039         000.003.282             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000040         000.002.061             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000041         000.002.861             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
