     index           time           Name             ID        Type      Format  Len      Data
  00000001         032.308.078             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000002         000.528.155             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000003         000.469.644             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000004         000.003.405             接收            740        DATA    STANDARD    8      1D 00 47 00 03 D8 00 00 
  00000005         000.001.989             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000006         000.002.839             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000007         000.002.274             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000008         000.002.992             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000009         000.002.046             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000010         000.002.837             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000011         000.002.038             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000012         000.003.281             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000013         000.002.110             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 81 
  00000014         000.002.672             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000015         000.037.313             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000016         000.527.063             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000017         000.528.279             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000018         000.028.595             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000019         000.344.062             接收            180        DATA    STANDARD    6      15 00 20 08 08 D3 
  00000020         000.001.753             接收            180        DATA    STANDARD    6      15 00 36 01 01 D4 
  00000021         000.109.669             接收            200        DATA    STANDARD    5      15 00 01 04 04 
  00000022         000.015.394             接收            180        DATA    STANDARD    6      15 00 20 08 00 D5 
  00000023         000.001.730             接收            180        DATA    STANDARD    6      15 00 36 01 00 D6 
  00000024         000.004.487             接收            200        DATA    STANDARD    5      19 00 01 04 04 
  00000025         000.005.226             接收            749        DATA    STANDARD    7      05 00 AE 40 01 00 00 
  00000026         000.003.321             接收            749        DATA    STANDARD    7      09 00 AE 40 01 00 00 
  00000027         000.002.046             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 02 
  00000028         000.002.765             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000029         000.002.109             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000030         000.004.057             接收            100        DATA    STANDARD    6      1D 00 71 FF 10 82 
  00000031         000.001.616             接收            740        DATA    STANDARD    8      1D 00 47 10 03 D8 00 00 
  00000032         000.002.718             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 10 
  00000033         000.002.109             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 10 
  00000034         000.003.164             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000035         000.002.052             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000036         000.002.804             接收            749        DATA    STANDARD    6      0D 00 AE 04 01 00 
  00000037         000.002.120             接收            748        DATA    STANDARD    6      0D 00 AE 04 01 00 
  00000038         000.003.281             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000039         000.002.047             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000040         000.003.826             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000041         000.017.832             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000042         000.098.343             接收            741        DATA    STANDARD    3      1D 00 42 
  00000043         000.002.953             接收            100        DATA    STANDARD    6      1D 00 E9 01 00 83 
  00000044         000.264.187             接收            1C0        DATA    STANDARD    5      15 00 22 20 20 
