     index           time           Name             ID        Type      Format  Len      Data
  00000001         076.997.739             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000002         000.528.703             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000003         000.197.249             接收            781        DATA    STANDARD    6      11 00 50 0A 0C 05 
  00000004         000.332.485             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000005         000.204.468             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000006         000.323.204             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000007         000.513.119             接收            180        DATA    STANDARD    6      15 00 20 08 08 19 
  00000008         000.001.756             接收            180        DATA    STANDARD    6      15 00 36 01 01 1A 
  00000009         000.013.124             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000010         000.051.002             接收            200        DATA    STANDARD    5      15 00 01 04 04 
  00000011         000.019.826             接收            200        DATA    STANDARD    5      19 00 01 04 04 
  00000012         000.006.002             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 02 
  00000013         000.002.782             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000014         000.001.362             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 02 
  00000015         000.002.793             接收            100        DATA    STANDARD    6      1D 00 71 FF 10 DC 
  00000016         000.003.609             接收            740        DATA    STANDARD    8      1D 00 47 10 03 D8 00 00 
  00000017         000.002.733             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 10 
  00000018         000.002.096             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 10 
  00000019         000.001.032             接收            180        DATA    STANDARD    6      15 00 20 08 00 1B 
  00000020         000.001.733             接收            180        DATA    STANDARD    6      15 00 36 01 00 1C 
  00000021         000.001.406             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000022         000.005.345             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000023         000.004.146             接收            749        DATA    STANDARD    6      0D 00 AE 04 01 00 
  00000024         000.002.134             接收            748        DATA    STANDARD    6      0D 00 AE 04 01 00 
