     index           time           Name             ID        Type      Format  Len      Data
  00000001         116.676.868             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000002         000.003.402             接收            740        DATA    STANDARD    8      1D 00 47 00 07 6A 00 00 
  00000003         000.001.942             接收            600        DATA    STANDARD    7      1D 00 40 6A 00 00 00 
  00000004         000.002.860             接收            500        DATA    STANDARD    7      1D 00 40 6A 00 00 00 
  00000005         000.004.035             接收            749        DATA    STANDARD    6      0D 00 AE 03 35 00 
  00000006         000.002.058             接收            748        DATA    STANDARD    6      0D 00 AE 03 35 00 
  00000007         000.001.313             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000008         000.002.832             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000009         000.002.277             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000010         000.003.825             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000011         000.001.392             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 DF 
  00000012         000.002.961             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000013         000.197.854             接收            781        DATA    STANDARD    6      11 00 50 0D 0C F1 
  00000014         000.134.495             接收            180        DATA    STANDARD    6      15 00 20 20 20 B3 
  00000015         000.001.770             接收            180        DATA    STANDARD    6      15 00 36 01 01 B4 
  00000016         000.048.219             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000017         000.031.948             接收            200        DATA    STANDARD    5      15 00 01 08 08 
  00000018         000.020.811             接收            200        DATA    STANDARD    5      19 00 01 08 08 
  00000019         000.003.332             接收            749        DATA    STANDARD    7      05 00 AE 40 02 00 00 
  00000020         000.001.031             接收            180        DATA    STANDARD    6      15 00 20 20 00 B5 
  00000021         000.001.097             接收            749        DATA    STANDARD    7      09 00 AE 40 02 00 00 
  00000022         000.001.031             接收            180        DATA    STANDARD    6      15 00 36 01 00 B6 
  00000023         000.001.897             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000024         000.001.922             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000025         000.005.416             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000026         000.004.057             接收            100        DATA    STANDARD    6      1D 00 71 FF 02 E0 
  00000027         000.002.317             接收            740        DATA    STANDARD    8      1D 00 47 20 07 6A 00 00 
  00000028         000.002.685             接收            600        DATA    STANDARD    7      1D 00 40 6A 00 00 20 
  00000029         000.002.112             接收            500        DATA    STANDARD    7      1D 00 40 6A 00 00 20 
  00000030         000.003.172             接收            749        DATA    STANDARD    6      0D 00 AE 03 35 00 
  00000031         000.002.110             接收            748        DATA    STANDARD    6      0D 00 AE 03 35 00 
  00000032         000.002.833             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000033         000.002.276             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000034         000.003.281             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000035         000.002.062             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000036         000.118.033             接收            741        DATA    STANDARD    3      1D 00 42 
  00000037         000.002.437             接收            100        DATA    STANDARD    6      1D 00 E9 01 00 E1 
  00000038         000.282.937             接收            180        DATA    STANDARD    6      15 00 20 10 10 B7 
  00000039         000.001.782             接收            180        DATA    STANDARD    6      15 00 36 01 01 B8 
  00000040         000.049.266             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000041         000.024.654             接收            180        DATA    STANDARD    6      15 00 20 10 00 B9 
  00000042         000.001.735             接收            180        DATA    STANDARD    6      15 00 36 01 00 BA 
  00000043         000.413.486             接收            180        DATA    STANDARD    6      15 00 20 08 08 BB 
  00000044         000.001.735             接收            180        DATA    STANDARD    6      15 00 36 01 01 BC 
  00000045         000.084.092             接收            180        DATA    STANDARD    6      15 00 20 08 00 BD 
  00000046         000.001.782             接收            180        DATA    STANDARD    6      15 00 36 01 00 BE 
  00000047         000.006.984             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000048         000.391.499             接收            180        DATA    STANDARD    6      15 00 20 04 04 BF 
  00000049         000.001.763             接收            180        DATA    STANDARD    6      15 00 36 01 01 C0 
  00000050         000.094.097             接收            180        DATA    STANDARD    6      15 00 20 04 00 C1 
  00000051         000.001.712             接收            180        DATA    STANDARD    6      15 00 36 01 00 C2 
  00000052         000.032.041             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000053         000.527.904             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000054         000.527.036             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000055         000.290.322             接收            100        DATA    STANDARD    6      15 00 60 20 00 E2 
  00000056         000.006.188             接收            200        DATA    STANDARD    5      15 06 01 08 08 
  00000057         000.003.140             接收            749        DATA    STANDARD    7      05 06 AE 40 02 00 00 
  00000058         000.001.894             接收            24A        DATA    STANDARD    6      0D 00 AE 0B 06 00 
  00000059         000.003.282             接收            748        DATA    STANDARD    6      0D 00 AE 0B 06 00 
  00000060         000.004.402             接收            749        DATA    STANDARD    6      0D 00 AE 0B 06 00 
  00000061         000.015.125             接收            100        DATA    STANDARD    6      1D 00 71 FF 42 E3 
  00000062         000.004.032             接收            740        DATA    STANDARD    8      1D 00 47 21 06 68 00 00 
  00000063         000.003.187             接收            600        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000064         000.002.042             接收            500        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000065         000.003.972             接收            749        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000066         000.004.091             接收            748        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000067         000.002.223             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000068         000.002.780             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000069         000.002.098             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000070         000.001.375             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000071         000.186.826             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000072         000.526.359             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000073         000.526.333             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000074         000.472.365             接收            249        DATA    STANDARD    8      0D 00 AE 0D 42 15 00 00 
  00000075         000.003.303             接收            249        DATA    STANDARD    8      0D 00 AE 31 F6 08 00 00 
  00000076         000.039.327             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000077         000.003.047             接收            740        DATA    STANDARD    8      1D 00 47 21 06 68 00 00 
  00000078         000.001.937             接收            600        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000079         000.003.266             接收            500        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000080         000.001.897             接收            749        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000081         000.002.978             接收            748        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000082         000.002.109             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000083         000.003.328             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000084         000.002.451             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000085         000.002.471             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000086         000.001.360             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 E4 
  00000087         000.001.894             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000088         000.002.793             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000089         000.514.642             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000090         000.007.501             接收            100        DATA    STANDARD    6      1D 00 E9 01 01 E5 
  00000091         000.027.467             接收            180        DATA    STANDARD    6      14 00 34 08 E0 C3 
  00000092         000.025.687             接收            180        DATA    STANDARD    6      14 00 34 08 E8 C4 
  00000093         000.030.636             接收            180        DATA    STANDARD    6      14 00 34 08 E0 C5 
  00000094         000.275.051             接收            180        DATA    STANDARD    6      14 00 34 08 E8 C6 
  00000095         000.090.594             接收            180        DATA    STANDARD    6      14 00 34 08 E0 C7 
  00000096         000.068.720             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 E6 
  00000097         000.003.140             接收            742        DATA    STANDARD    5      1D 00 20 FF 04 
  00000098         000.004.688             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000099         000.035.062             接收            180        DATA    STANDARD    6      14 00 34 08 E8 C8 
  00000100         000.155.673             接收            180        DATA    STANDARD    6      14 00 34 08 E0 C9 
  00000101         000.334.560             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000102         000.525.267             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000103         000.478.475             接收            180        DATA    STANDARD    6      14 00 34 08 E8 CA 
  00000104         000.053.700             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000105         000.163.498             接收            741        DATA    STANDARD    5      1D 00 40 0A FC 
  00000106         000.002.717             接收            741        DATA    STANDARD    3      1D 00 41 
  00000107         000.124.620             接收            781        DATA    STANDARD    6      11 00 50 0C 0C 76 
  00000108         000.240.553             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000109         000.300.473             接收            781        DATA    STANDARD    6      11 00 50 0B 0B 7F 
  00000110         000.227.154             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000111         000.320.279             接收            781        DATA    STANDARD    4      11 00 FA 04 
  00000112         000.207.936             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000113         000.269.111             接收            180        DATA    STANDARD    6      15 00 32 01 31 CB 
  00000114         000.056.718             接收            781        DATA    STANDARD    6      11 00 50 0A 0A 0A 
  00000115         000.200.600             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000116         000.404.557             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000117         000.002.952             接收            740        DATA    STANDARD    8      1D 00 47 20 06 68 00 00 
  00000118         000.002.016             接收            600        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000119         000.003.347             接收            500        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000120         000.001.904             接收            749        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000121         000.002.860             接收            748        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000122         000.001.358             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000123         000.004.078             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000124         000.002.016             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000125         000.002.861             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000126         000.001.310             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 E7 
  00000127         000.003.000             接收            742        DATA    STANDARD    5      1D 00 50 FF 04 
  00000128         000.100.950             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000129         000.527.927             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000130         000.346.197             接收            781        DATA    STANDARD    6      11 00 50 0C 0B FA 
  00000131         000.181.827             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000132         000.529.209             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000133         000.361.036             接收            781        DATA    STANDARD    6      11 00 50 0C 0B FA 
  00000134         000.167.793             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000135         000.131.811             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 E8 
  00000136         000.003.329             接收            742        DATA    STANDARD    5      1D 00 20 FF 08 
  00000137         000.234.375             接收            781        DATA    STANDARD    6      11 00 50 0C 0C 76 
  00000138         000.161.391             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000139         000.528.799             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000140         000.016.451             接收            180        DATA    STANDARD    6      15 00 32 01 30 CC 
  00000141         000.514.077             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000142         000.383.067             接收            781        DATA    STANDARD    6      11 00 50 0C 0C 76 
  00000143         000.145.429             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000144         000.390.911             接收            781        DATA    STANDARD    6      11 00 50 0C 0B FA 
  00000145         000.138.677             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000146         000.298.871             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000147         000.002.936             接收            740        DATA    STANDARD    8      1D 00 47 20 06 68 00 00 
  00000148         000.001.969             接收            600        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000149         000.003.281             接收            500        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000150         000.001.923             接收            749        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000151         000.002.858             接收            748        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000152         000.002.031             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000153         000.003.314             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000154         000.002.812             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000155         000.003.298             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000156         000.002.161             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 E9 
  00000157         000.002.837             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000158         000.205.734             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000159         000.528.002             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000160         000.528.795             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000161         000.410.954             接收            781        DATA    STANDARD    6      11 00 50 0C 0C 76 
  00000162         000.118.081             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000163         000.529.967             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000164         000.529.405             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000165         000.088.407             接收            200        DATA    STANDARD    5      15 06 01 08 00 
  00000166         000.005.314             接收            749        DATA    STANDARD    7      05 06 AE 40 00 00 00 
  00000167         000.009.686             接收            200        DATA    STANDARD    5      15 00 01 08 08 
  00000168         000.006.936             接收            200        DATA    STANDARD    5      19 00 01 08 08 
  00000169         000.002.672             接收            749        DATA    STANDARD    7      05 00 AE 40 02 00 00 
  00000170         000.001.407             接收            749        DATA    STANDARD    7      09 00 AE 40 02 00 00 
  00000171         000.001.888             接收            100        DATA    STANDARD    6      1D 00 71 FF 02 EA 
  00000172         000.107.424             接收            741        DATA    STANDARD    3      1D 00 42 
  00000173         000.004.240             接收            100        DATA    STANDARD    6      1D 00 E9 01 00 EB 
  00000174         000.311.323             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000175         000.529.456             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000176         000.528.809             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000177         000.525.620             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000178         000.181.407             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000179         000.003.412             接收            740        DATA    STANDARD    8      1D 00 47 21 06 68 00 00 
  00000180         000.002.152             接收            600        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000181         000.002.754             接收            500        DATA    STANDARD    7      1D 00 40 68 00 00 20 
  00000182         000.001.940             接收            749        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000183         000.001.389             接收            748        DATA    STANDARD    6      0D 00 AE 03 34 00 
  00000184         000.002.825             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000185         000.001.345             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000186         000.004.454             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000187         000.001.666             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000188         000.002.902             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 EC 
  00000189         000.001.149             接收            742        DATA    STANDARD    5      1D 00 50 FF 08 
  00000190         000.324.142             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000191         000.269.156             接收            740        DATA    STANDARD    8      1D 00 47 21 05 66 00 00 
  00000192         000.003.047             接收            600        DATA    STANDARD    7      1D 00 40 66 00 00 20 
  00000193         000.002.485             接收            500        DATA    STANDARD    7      1D 00 40 66 00 00 20 
  00000194         000.003.562             接收            749        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000195         000.002.063             接收            748        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000196         000.003.234             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000197         000.001.751             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000198         000.005.422             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000199         000.005.951             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000200         000.002.831             接收            100        DATA    STANDARD    6      15 00 60 10 00 ED 
  00000201         000.001.247             接收            200        DATA    STANDARD    5      15 05 01 08 08 
  00000202         000.003.048             接收            749        DATA    STANDARD    7      05 05 AE 40 02 00 00 
  00000203         000.002.040             接收            24A        DATA    STANDARD    6      0D 00 AE 0B 05 00 
  00000204         000.003.612             接收            748        DATA    STANDARD    6      0D 00 AE 0B 05 00 
  00000205         000.002.457             接收            749        DATA    STANDARD    6      0D 00 AE 0B 05 00 
  00000206         000.002.017             接收            100        DATA    STANDARD    6      1D 00 71 FF 42 EE 
  00000207         000.224.952             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000208         000.526.231             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000209         000.528.316             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000210         000.527.202             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000211         000.501.188             接收            100        DATA    STANDARD    6      1D 00 E9 01 01 EF 
  00000212         000.024.469             接收            180        DATA    STANDARD    6      14 00 34 08 E0 CD 
  00000213         000.002.156             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000214         000.028.702             接收            180        DATA    STANDARD    6      14 00 34 08 E8 CE 
  00000215         000.025.907             接收            180        DATA    STANDARD    6      14 00 34 08 E0 CF 
  00000216         000.280.360             接收            180        DATA    STANDARD    6      14 00 34 08 E8 D0 
  00000217         000.095.766             接收            180        DATA    STANDARD    6      14 00 34 08 E0 D1 
  00000218         000.051.796             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 F0 
  00000219         000.003.436             接收            742        DATA    STANDARD    5      1D 00 20 FF 04 
  00000220         000.041.002             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000221         000.525.000             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000222         000.526.500             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000223         000.410.015             接收            741        DATA    STANDARD    5      1D 00 40 09 9E 
  00000224         000.002.673             接收            741        DATA    STANDARD    3      1D 00 41 
  00000225         000.122.392             接收            781        DATA    STANDARD    6      11 00 50 0C 0B FA 
  00000226         000.001.008             接收            180        DATA    STANDARD    6      14 00 34 08 E8 D2 
  00000227         000.000.818             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000228         000.049.781             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 01 
  00000229         000.004.175             接收            740        DATA    STANDARD    8      1D 00 47 21 05 66 00 00 
  00000230         000.002.013             接收            600        DATA    STANDARD    7      1D 00 40 66 00 00 20 
  00000231         000.002.838             接收            500        DATA    STANDARD    7      1D 00 40 66 00 00 20 
  00000232         000.001.991             接收            749        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000233         000.003.342             接收            748        DATA    STANDARD    6      0D 00 AE 03 33 00 
  00000234         000.002.047             接收            749        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000235         000.002.908             接收            748        DATA    STANDARD    6      0D 00 AE 04 02 00 
  00000236         000.002.155             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000237         000.003.626             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 01 
  00000238         000.001.624             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 F1 
  00000239         000.002.719             接收            742        DATA    STANDARD    5      1D 00 50 FF 04 
  00000240         000.453.750             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000241         000.002.344             接收            781        DATA    STANDARD    6      11 00 50 0C 0B FA 
  00000242         000.523.031             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000243         000.017.437             接收            781        DATA    STANDARD    6      11 00 50 0A 0A 0A 
  00000244         000.510.939             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000245         000.026.391             接收            781        DATA    STANDARD    6      11 00 50 0B 0B 03 
  00000246         000.192.468             接收            180        DATA    STANDARD    6      15 00 32 01 31 D3 
  00000247         000.309.047             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000248         000.037.100             接收            781        DATA    STANDARD    6      11 00 50 0B 0B 03 
  00000249         000.491.953             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000250         000.528.600             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000251         000.527.676             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000252         000.531.379             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000253         000.410.323             接收            100        DATA    STANDARD    6      1D 00 73 FF 08 F2 
  00000254         000.003.205             接收            742        DATA    STANDARD    5      1D 00 20 FF 08 
