ID	 Byte_1_2	 Percentage
1006	 15  00	0.00554785
1006	 1D  00	0.0651872
1806	 14  00	0.036061
1806	 15  00	0.0443828
2005	 15  00	0.0110957
2005	 15  03	0.00416089
2005	 15  04	0.00277393
2005	 15  05	0.00277393
2005	 15  06	0.00277393
2005	 19  00	0.0110957
2494	 0D  00	0.244105
2498	 0D  00	0.00693481
24A6	 0D  00	0.00554785
2836	 15  03	0.00277393
5007	 1D  00	0.036061
6007	 1D  00	0.036061
7407	 1D  00	0.0305132
7408	 1D  00	0.036061
7413	 1D  00	0.0110957
7415	 1D  00	0.00554785
7425	 1D  00	0.0402219
7428	 1D  00	0.00138696
7486	 0D  00	0.117892
7496	 0D  00	0.117892
7497	 05  00	0.0110957
7497	 05  03	0.00277393
7497	 05  04	0.00277393
7497	 05  05	0.00277393
7497	 05  06	0.00277393
7497	 09  00	0.0110957
7814	 11  00	0.00277393
7816	 11  00	0.0859917
