
03080009      00 00 00 00 00 00 00 00                      
03080018      00 00 00 00 00 00 00 02                      
03080018      00 00 00 00 00 00 00 03                      
03080018      00 00 00 00 00 00 10 02                      
03080018      01 00 00 00 00 00 00 02                      
03080018      01 00 00 00 00 00 00 03                      
03080018      01 00 00 00 00 00 00 13                      
03080018      01 00 00 00 00 00 00 19                      
03080018      01 00 00 00 00 00 10 02                      
03080028      00 00 00 00 00 00 00 02                      
03080028      00 00 00 00 00 00 00 03                      
03080028      00 00 00 00 00 00 30 02                      
03080028      00 00 00 00 00 00 30 03                      
03080028      00 00 00 00 00 00 30 13                      
03080028      00 00 00 00 00 00 30 19                      
03080038      00 00 00 00 00 00 00 02                      
03080038      00 00 00 00 00 00 00 03                      
03080038      00 00 00 00 00 00 30 02                      
03080038      01 00 00 00 00 00 00 03                      
03080038      01 00 00 00 00 00 20 03                      
03080038      01 00 00 00 00 00 30 02                      
03080038      01 00 00 00 00 00 30 03                      
03080038      01 00 00 00 00 00 30 13                      
03080038      01 00 00 00 00 00 30 19                      
03080048      00 01 00 00 00 00 00 00                      
03080048      00 01 10 01 00 00 00 00                      
03080048      00 01 20 02 00 00 00 00                      
03080048      20 07 00 00 00 00 00 00                      
03080048      20 07 00 10 00 00 00 00                      
03080048      20 07 10 01 00 00 00 00                      
03080048      20 07 10 11 00 00 00 00                      
03080048      20 07 20 12 00 00 00 00                      
03080048      80 01 10 01 00 00 00 00                      
03080048      A0 01 00 02 00 00 00 00                      
03080048      A0 01 00 22 00 00 00 00                      
03080048      A0 03 00 02 00 00 00 00                      
03080048      A0 05 00 02 00 00 00 00                      
03080048      A0 07 00 02 00 00 00 00                      
0308004A      00 00 00 00 00 00 00 0D                      
0308004A      00 00 00 00 00 00 00 0E                      
0308004A      00 00 40 20 00 00 00 0C                      
0308004A      00 00 40 20 00 00 00 0D                      
0308004A      00 00 80 10 00 00 00 0C                      
0308004A      00 00 80 10 00 00 00 0E                      
0308004A      01 00 00 00 00 00 00 0D                      
0308004A      01 00 00 00 00 00 00 0E                      
0308004A      01 00 40 20 00 00 00 0C                      
0308004A      01 00 40 20 00 00 00 0D                      
0308004A      01 00 80 10 00 00 00 0C                      
0308004A      83 00 00 20 00 00 00 0E                      
0308004A      83 00 80 10 00 00 00 0E                      
03220008      54 00 00 01 00 00 00 00                      
03220008      58 00 00 01 00 00 00 00                      
03220008      5C 00 00 01 00 00 00 00                      
03220008      74 00 00 01 00 00 00 00                      
03220008      7C 00 00 01 00 00 00 00                      
03220010      00 00 00 00 00 00 00 F1                      
03220010      01 00 00 00 00 00 00 F1                      
03220040      7E 00 00 00 00 00 00 00                      
