3080009  00 00 00 00 00 00 00 00 0
3080018  00 00 00 00 00 00 00 02 0
3080018  00 00 00 00 00 00 00 03 0
3080018  00 00 00 00 00 00 10 03 0
3080018  02 00 00 00 00 00 00 02 0
3080018  06 00 00 00 00 00 00 02 0
3080018  08 00 00 00 00 00 00 03 0
3080018  08 00 00 00 00 00 00 19 0
3080018  08 00 00 00 00 00 10 03 0
3080018  0C 00 00 00 00 00 00 13 0
3080018  0C 00 00 00 00 00 10 19 0
3080018  0E 00 00 00 00 00 00 02 0
3080018  0E 00 00 00 00 00 10 13 0
3080028  00 00 00 00 00 00 00 02 0
3080028  00 00 00 00 00 00 00 03 0
3080028  00 00 00 00 00 00 00 13 0
3080028  00 00 00 00 00 00 00 19 0
3080028  00 00 00 00 00 00 08 03 0
3080028  00 00 00 00 00 00 08 19 0
3080028  00 00 00 00 00 00 28 02 0
3080028  00 00 00 00 00 00 28 03 0
3080028  00 00 00 00 00 00 28 13 0
3080028  00 00 00 00 00 00 28 19 0
3080038  00 00 00 00 00 00 00 02 0
3080038  00 00 00 00 00 00 00 03 0
3080038  00 00 00 00 00 00 28 03 0
3080038  02 00 00 00 00 00 00 02 0
3080038  02 00 00 00 00 00 28 02 0
3080038  06 00 00 00 00 00 28 02 0
3080038  08 00 00 00 00 00 00 19 0
3080038  08 00 00 00 00 00 20 19 0
3080038  08 00 00 00 00 00 28 03 0
3080038  08 00 00 00 00 00 28 19 0
3080038  0C 00 00 00 00 00 00 13 0
3080038  0C 00 00 00 00 00 20 13 0
3080038  0C 00 00 00 00 00 28 13 0
3080038  0C 00 00 00 00 00 28 19 0
3080038  0E 00 00 00 00 00 28 02 0
3080038  0E 00 00 00 00 00 28 13 0
3080048  00 01 00 00 00 00 00 00 101
3080048  00 07 00 00 00 00 00 00 101
3080048  00 07 00 02 00 00 00 00 101
3080048  00 07 10 01 00 00 00 00 101
3080048  00 07 20 02 00 00 00 00 101
3080048  40 03 00 00 00 00 00 00 101
3080048  40 03 00 10 00 00 00 00 101
3080048  40 03 10 01 00 00 00 00 101
3080048  40 03 20 12 00 00 00 00 101
3080048  40 05 00 00 00 00 00 00 101
3080048  40 05 00 10 00 00 00 00 101
3080048  40 05 00 12 00 00 00 00 101
3080048  40 05 10 01 00 00 00 00 101
3080048  40 05 20 12 00 00 00 00 101
3080048  80 07 00 01 00 00 00 00 101
3080048  80 07 10 01 00 00 00 00 101
3080048  C0 01 00 02 00 00 00 00 101
3080048  C0 03 00 02 00 00 00 00 101
3080048  C0 03 00 22 00 00 00 00 101
3080048  C0 03 10 01 00 00 00 00 101
3080048  C0 05 00 00 00 00 00 00 101
3080048  C0 05 00 02 00 00 00 00 101
3080048  C0 05 00 22 00 00 00 00 101
3080048  C0 05 10 01 00 00 00 00 101
3080048  C0 07 00 22 00 00 00 00 101
308004A  00 00 00 00 00 00 00 0D 0
308004A  00 00 00 00 00 00 00 0E 0
308004A  00 00 40 20 00 00 00 0C 0
308004A  00 00 40 20 00 00 00 0D 0
308004A  00 00 80 10 00 00 00 0C 0
308004A  00 00 80 10 00 00 00 0E 0
308004A  02 00 00 00 00 00 00 0D 0
308004A  02 00 00 00 00 00 00 0E 0
308004A  02 00 40 20 00 00 00 0C 0
308004A  02 00 40 20 00 00 00 0D 0
308004A  02 00 80 10 00 00 00 0C 0
308004A  02 00 80 10 00 00 00 0E 0
308004A  83 00 00 20 00 00 00 0E 0
308004A  83 00 80 10 00 00 00 0E 0
3220008  54 00 00 01 00 00 00 00 0
3220008  58 00 00 01 00 00 00 00 0
3220008  5C 00 00 01 00 00 00 00 0
3220010  00 00 00 00 00 00 00 F0 0
3220010  00 00 00 00 00 00 00 F1 0
3220010  02 00 00 00 00 00 00 F1 0
3220010  04 00 00 00 00 00 00 F1 0
3220010  08 00 00 00 00 00 00 F1 0
3220040  7E 00 00 00 00 00 00 00 0

